DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
"Developer, AI",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Databricks;Microsoft Azure;Netlify,Angular;ASP.NET CORE;Gatsby;React,NA,NumPy;Pandas;Scikit-Learn,Docker,IPython;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,Azure Devops;Lucid;Markdown File;Miro;Notion,Discord;Microsoft Teams,ChatGPT,150000
Data or business analyst,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL,MySQL,Google Cloud,NA,NA,NumPy;Pandas;Scikit-Learn,Make,Notepad++;Visual Studio Code,Asana,Google Meet;Microsoft Teams;Slack,ChatGPT;Codeium;Google Gemini,43616
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,BigQuery,Google Cloud,Flask,NA,NumPy;Opencv;Ruff;TensorFlow;Torch/PyTorch,Make;Pip;Podman;Terraform,Visual Studio Code,Confluence;Jira;Markdown File,Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot,135000
"Developer, AI",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku;Microsoft Azure,FastAPI;Flask;jQuery,NA,Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;npm;Pip,Jupyter Notebook/JupyterLab;Nano;Sublime Text;Visual Studio Code,Confluence,Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Google Gemini;Meta AI,151984
"Developer, AI",Bash/Shell (all shells);C;C++;Python;SQL,MariaDB;SQLite,Hetzner,NA,CMake;GNU GCC;Rasberry Pi,Apache Kafka;Opencv;Torch/PyTorch,NA,PyCharm;Visual Studio;Visual Studio Code,Confluence;Jira,Telegram;Whatsapp,ChatGPT;Meta AI,16183
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,Databricks SQL;Presto,Amazon Web Services (AWS);Databricks;Microsoft Azure,Django;Flask,NA,Apache Spark;Hadoop;Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker,IPython;Jupyter Notebook/JupyterLab;Sublime Text;Vim;Visual Studio Code,Airtable;Azure Devops;Confluence;Markdown File;Obsidian;Wikis,Microsoft Teams;Slack,ChatGPT;GitHub Copilot,211000
"Developer, AI",C++;Prolog;R;SQL,Oracle;PostgreSQL,Amazon Web Services (AWS),Django,NA,NA,Make,CLion,Jira,Slack,ChatGPT,210000
Data engineer,JavaScript;Perl;SQL,Microsoft SQL Server,NA,NA,NA,NA,NA,Emacs,NA,Microsoft Teams,NA,170000
Data or business analyst,Python;SQL,Microsoft SQL Server,NA,NA,NA,Pandas,NA,IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Trello,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,ChatGPT,45
Data engineer,Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;OCaml;Python;Rust,PostgreSQL,Amazon Web Services (AWS);Cloudflare,Express;Node.js,Ninja,Pandas,Docker;Ninja;Nix;Terraform,Emacs,Confluence;Markdown File,Microsoft Teams;Signal;Zoom,NA,120000
Data scientist or machine learning specialist,Bash/Shell (all shells);Groovy;Java;Python;Scala;SQL;Swift;TypeScript,NA,Amazon Web Services (AWS),Node.js,NA,Apache Spark;Hadoop;Keras;NumPy;Pandas;Ruff;Scikit-Learn;TensorFlow,Docker;Gradle;Homebrew;Maven (build tool);npm;Pip;Terraform,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code;Xcode,Confluence;Jira,Cisco Webex Teams;Microsoft Teams,ChatGPT;Claude;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,128887
Data engineer,Bash/Shell (all shells);C;Java;JavaScript;MicroPython;Perl;PowerShell;Python;Rust;Scala;SQL,BigQuery;Cockroachdb;Databricks SQL;DuckDB;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure;VMware,FastAPI;Flask;Nuxt.js;Spring Boot;Vue.js,Cargo;GNU GCC;Rasberry Pi,NumPy;Pandas;Spring Framework,Ant;Chocolatey;Docker;Maven (build tool);npm;Pip;Terraform,IPython;Jupyter Notebook/JupyterLab;Notepad++;Vim;Visual Studio Code,Asana;Confluence;Jira;Lucid;Markdown File;Obsidian;Smartsheet,Google Chat;Google Meet;Microsoft Teams;Ringcentral;Slack;Zoom,NA,237000
"Developer, AI",Bash/Shell (all shells);C;C++;Clojure;Cobol;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Prolog;Python;Rust,Dynamodb;Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Express;Node.js;React;Spring Boot,Arduino;Rasberry Pi,Apache Kafka;NumPy;Opencv;OpenGL;Scikit-Learn;Spring Framework,Docker;Gradle;Homebrew;Make;Maven (build tool);Unity 3D;Webpack,DataGrip;Emacs;Goland;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PhpStorm;PyCharm;Vim;WebStorm,Jira;Obsidian,Microsoft Teams;Whatsapp,ChatGPT;GitHub Copilot,200000
"Developer, AI",Bash/Shell (all shells);C#;F#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Dynamodb;Elasticsearch,Amazon Web Services (AWS);IBM Cloud Or Watson;Microsoft Azure;VMware,Angular;FastAPI;Flask;React;WordPress,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Hugging Face Transformers;Keras;NumPy;Pandas;Quarkus;Scikit-Learn;TensorFlow,Docker;Kubernetes;Maven (build tool);npm;Pip,Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Rider;Visual Studio;Visual Studio Code;WebStorm,Azure Devops;Confluence;GitHub Discussions;Jira;Markdown File;Notion,Discord;Jitsi;Mattermost;Telegram;Whatsapp;Zoom,ChatGPT,26852
Data scientist or machine learning specialist,Python;SQL,Databricks SQL;Elasticsearch,Databricks;Microsoft Azure,FastAPI,NA,Apache Spark;Hugging Face Transformers;mlflow;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Visual Studio Code,Jira,Microsoft Teams,ChatGPT,49407
Data scientist or machine learning specialist,Python;R;SQL,MySQL;PostgreSQL;Redis;SQLite,Microsoft Azure,FastAPI,NA,Apache Spark;mlflow;NumPy;Pandas;Scikit-Learn,Docker;Pip,IPython;Jupyter Notebook/JupyterLab;Nano;PyCharm;Sublime Text,Azure Devops;Miro,Microsoft Teams,Codeium,64444
Data scientist or machine learning specialist,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;R;SQL,SQLite,NA,Node.js,Rasberry Pi,NumPy;Pandas;Scikit-Learn;Tidyverse,Pip,Jupyter Notebook/JupyterLab;Kate;Nano;Notepad++;RStudio;Visual Studio Code,Airtable;GitHub Discussions;Markdown File;Obsidian;Wikis,Discord;Google Chat;Google Meet;Zoom,ChatGPT;WolframAlpha,90000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python,NA,Render,FastAPI,NA,Pandas;Ruff,NA,PyCharm,Confluence;Jira;Obsidian,Microsoft Teams,ChatGPT;GitHub Copilot,76745
Data scientist or machine learning specialist,Python,BigQuery,Google Cloud,NA,NA,NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Godot;Pip,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,GitHub Discussions;Markdown File;Miro;Obsidian,Discord;Google Meet;Slack;Zoom,ChatGPT;Codeium,35433
Data or business analyst,HTML/CSS;R,NA,NA,NA,NA,NA,NA,RStudio,NA,Discord;Microsoft Teams;Slack,ChatGPT,60000
Data engineer,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL,Databricks SQL;Microsoft SQL Server,Cloudflare;Fly.io;Google Cloud,FastAPI,CMake;GNU GCC,.NET (5+) ;OpenCL;OpenGL;Qt,Godot;Google Test;Podman;Puppet,Notepad++;Visual Studio Code;VSCodium,Shortcut;Trello,Discord;Google Chat;IRC;Slack;Whatsapp,Bing AI;ChatGPT;GitHub Copilot;OpenAI Codex,305
Data engineer,Bash/Shell (all shells);Python;R;Scala;SQL;VBA,BigQuery;DuckDB;Elasticsearch;Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite,Google Cloud,NA,NA,Apache Kafka;Apache Spark;Hadoop;mlflow;Pandas,NA,Jupyter Notebook/JupyterLab;RStudio;Spyder;Visual Studio Code,Azure Devops;Confluence;Markdown File;Trello,Discord;Google Chat;Google Meet;Microsoft Teams;Slack;Zoom,Amazon Q;ChatGPT;GitHub Copilot;Google Gemini,39740
Data or business analyst,HTML/CSS;MATLAB;MicroPython;Python;R;Scala;SQL,NA,NA,WordPress,NA,Apache Spark;Hugging Face Transformers;Keras;mlflow;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Spyder;Sublime Text;Visual Studio Code;VSCodium,Microsoft Planner;Notion,Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Claude;Codeium;GitHub Copilot;Google Gemini;Lightning AI;Perplexity AI,1
Data engineer,Go;Java;JavaScript;Python;SQL,BigQuery;Cassandra;Databricks SQL;Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure,Django;React,NA,Apache Spark;Flutter;Ruff,Docker;Homebrew;Kubernetes;npm;Pip;Terraform;Visual Studio Solution,Android Studio;Visual Studio Code,Clickup;Miro,Google Meet;Slack;Whatsapp;Zoom,ChatGPT;Google Gemini,80000
Data scientist or machine learning specialist,Python;R,PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Django;Flask,NA,CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Ansible;Terraform,RStudio;Visual Studio Code,Confluence,Google Meet;Slack;Zoom,ChatGPT,110000
Data or business analyst,HTML/CSS;JavaScript;R,Microsoft SQL Server;SQLite,Microsoft Azure,NA,NA,Tidyverse,NA,RStudio,Azure Devops;Markdown File;Wikis,Microsoft Teams,ChatGPT;Phind,56540
Data or business analyst,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,Oracle,Microsoft Azure;OpenShift,Spring Boot,NA,Pandas;RabbitMQ;Spring Framework,Docker;Pip,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim,Stack Overflow for Teams,Google Meet;Microsoft Teams;Whatsapp,ChatGPT,40001
"Developer, AI",C#;Java;Python;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase,Django;FastAPI;Flask,NA,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Homebrew;Visual Studio Solution,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio;Visual Studio Code,NA,Slack,ChatGPT,34816
"Developer, AI",Bash/Shell (all shells);JavaScript;Python;SQL,MySQL,Amazon Web Services (AWS),FastAPI;Flask,NA,CUDA;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Pip,IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Vim,Markdown File;Notion,Microsoft Teams;Whatsapp,Bing AI;ChatGPT;Phind,7226
Data engineer,Bash/Shell (all shells);HTML/CSS;Python;SQL,PostgreSQL;Presto,Amazon Web Services (AWS),FastAPI,NA,Apache Spark;Hugging Face Transformers;mlflow;NumPy;Pandas;Scikit-Learn,Ansible;APT;Docker;Homebrew,IPython;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Confluence;Jira;Lucid;Markdown File;Notion,Microsoft Teams;Slack;Zoom,ChatGPT;Google Gemini,155000
Data engineer,GDScript;HTML/CSS;JavaScript;Python;TypeScript,PostgreSQL;Snowflake,Amazon Web Services (AWS);Vercel,Flask;Next.js;Node.js;React,NA,NumPy;Pandas,Docker;Godot;npm;Pip,Visual Studio Code,Confluence;Jira,Cisco Webex Teams;Microsoft Teams,ChatGPT,132132
Data scientist or machine learning specialist,Python;R;SQL,PostgreSQL,NA,Node.js,NA,NumPy;Pandas;Scikit-Learn;SwiftUI,Docker,Jupyter Notebook/JupyterLab;Visual Studio Code,Clickup;Confluence;Jira,Google Meet;Signal;Slack,Cody;You.com,109009
Data engineer,C++;Python,MongoDB;MySQL,Google Cloud,NA,Arduino;CMake;Rasberry Pi,CUDA;Keras;mlflow;NumPy;OpenGL;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;npm;Pip,Notepad++;PyCharm;Visual Studio Code,Confluence;Jira,NA,ChatGPT,14566
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;TypeScript,Cloud Firestore;DuckDB;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,"Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Linode, now Akamai;Netlify;Vercel;Vultr",Express;FastAPI;Fastify;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js;WordPress,Arduino,Apache Spark;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Make;npm;pnpm;Vite;Webpack;Yarn,IPython;Jupyter Notebook/JupyterLab;Notepad++;RStudio;Sublime Text;Vim;Visual Studio Code;VSCodium,Airtable;Clickup;GitHub Discussions;Jira;Markdown File;Notion;Trello,Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp,Bing AI;ChatGPT;Codeium;Google Gemini;You.com,18700
Data engineer,Bash/Shell (all shells);Python;SQL,Clickhouse;Elasticsearch;MongoDB;MySQL,NA,NA,NA,NumPy;Pandas;RabbitMQ,Docker;Pip,Jupyter Notebook/JupyterLab;PyCharm,Azure Devops,Skype,ChatGPT;Google Gemini,47520
Data engineer,C#;HTML/CSS;JavaScript;Python;TypeScript,NA,Databricks;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE,NA,.NET (5+) ;Apache Spark;Pandas,MSBuild;npm;NuGet;Terraform,Visual Studio;Visual Studio Code,Azure Devops;Jira,Microsoft Teams;Slack,GitHub Copilot;Visual Studio Intellicode,70193
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Databricks SQL;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Databricks;Microsoft Azure,jQuery,NA,Apache Spark;NumPy;Pandas,Pip;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Azure Devops,Microsoft Teams,Bing AI,86785
Data engineer,C;Clojure;Go;HTML/CSS;Java;JavaScript;Lisp;Lua;Perl;Python;Rust;Scala;SQL,Databricks SQL;Elasticsearch;Redis,Amazon Web Services (AWS),Django;Elm;Htmx;React,NA,Apache Kafka;Apache Spark,APT;Kubernetes;Pip,Emacs;Helix;Neovim,GitHub Discussions;Jira,Slack;Zoom,ChatGPT,250000
Data scientist or machine learning specialist,Python,NA,NA,React,NA,Hugging Face Transformers;NumPy;Pandas;Torch/PyTorch,Docker;Pip,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,GitHub Discussions,Telegram,ChatGPT,23653
Data engineer,JavaScript;Python;SQL,PostgreSQL;SQLite,"Linode, now Akamai;Microsoft Azure",ASP.NET;ASP.NET CORE,NA,NumPy;Pandas,Docker;Maven (build tool);Pip,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,NA,Microsoft Teams;Whatsapp,ChatGPT;Phind,12500
Data or business analyst,Python;SQL,PostgreSQL,Microsoft Azure,NA,NA,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NA,PyCharm,Confluence,Microsoft Teams;Signal;Whatsapp;Zoom,ChatGPT,34748
Data scientist or machine learning specialist,C#;HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;VBA;Visual Basic (.Net),MariaDB;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;Vultr,ASP.NET;FastAPI;Flask,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Spark;mlflow;NumPy;Pandas;Scikit-Learn,Docker;NuGet;Pip;Visual Studio Solution,Jupyter Notebook/JupyterLab;Notepad++;RStudio;Visual Studio;Visual Studio Code,Azure Devops;Confluence;Jira;Markdown File,Microsoft Teams;Signal;Zoom,ChatGPT;Visual Studio Intellicode,111417
Data scientist or machine learning specialist,Bash/Shell (all shells);Java;Kotlin;Python;SQL,PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud,FastAPI,NA,NumPy;Opencv;Torch/PyTorch,Bun;Chocolatey;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);Pip,Android Studio;IntelliJ IDEA;PyCharm;Vim;Visual Studio Code,Clickup;Lucid;Notion,Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot;Google Gemini,125000
Data scientist or machine learning specialist,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,BigQuery;Dynamodb;Elasticsearch;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;Vercel,Django;Express;FastAPI;Flask;Next.js;Node.js;React;Ruby on Rails;Strapi,Arduino;LLVM's Clang;Rasberry Pi,Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;Tauri;TensorFlow;Torch/PyTorch,Docker;Homebrew;Make;Maven (build tool);npm;NuGet;Pip;Terraform;Vite;Webpack,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Jira;Markdown File;Notion;Trello,Google Meet;Microsoft Teams;Signal;Skype;Slack;Zoom,ChatGPT;GitHub Copilot,70008
Data scientist or machine learning specialist,Python;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,mlflow;NumPy;Pandas;Scikit-Learn,Pip,Visual Studio Code,Azure Devops,Microsoft Teams,ChatGPT;GitHub Copilot,130000
Data scientist or machine learning specialist,Python;SQL,PostgreSQL;Snowflake,Microsoft Azure,NA,NA,Pandas,NA,Jupyter Notebook/JupyterLab;Vim,NA,Microsoft Teams,ChatGPT,57999
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;R,MongoDB;MySQL,Amazon Web Services (AWS),Express;Node.js;React,NA,Tidyverse,APT;npm,Emacs,Confluence;Jira;Markdown File,Microsoft Teams,NA,105410
"Developer, AI",Java;JavaScript;Kotlin;MATLAB;Python;SQL,MongoDB;SQLite,NA,FastAPI;React,NA,CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;Opencv;Pandas;RabbitMQ;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,Android Studio;IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira;Markdown File,Discord;Signal;Slack;Whatsapp,ChatGPT,80555
"Developer, AI",JavaScript;Python,MariaDB;MySQL,Microsoft Azure,FastAPI;jQuery,NA,NumPy;Pandas;Qt;Scikit-Learn;Torch/PyTorch,Ansible;Maven (build tool);Pip,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm,Azure Devops;Markdown File,Microsoft Teams,ChatGPT,77332
Data engineer,Python;Scala,Elasticsearch,NA,NA,NA,Pandas,Kubernetes,IntelliJ IDEA;Vim,Jira,Slack;Zoom,Bing AI;ChatGPT;Phind,86999
Data engineer,PowerShell;SQL,Microsoft SQL Server,NA,NA,NA,NA,NA,Visual Studio Code,Azure Devops,Microsoft Teams,NA,40814
Data scientist or machine learning specialist,HTML/CSS;JavaScript;PHP;Python;R;SQL,DuckDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Django;jQuery,NA,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Kubernetes;Pip,Notepad++;PyCharm;RStudio;Sublime Text;Visual Studio,Confluence;Jira;Markdown File;Notion;Smartsheet,Microsoft Teams;Slack;Whatsapp;Zoom,Bing AI;ChatGPT;GitHub Copilot;WolframAlpha,65518
Data scientist or machine learning specialist,R;SQL,Microsoft SQL Server;Oracle,NA,NA,NA,Tidyverse,Pip,IntelliJ IDEA;Notepad++;RStudio;Vim;Visual Studio Code,Confluence,Microsoft Teams;Whatsapp;Zoom,ChatGPT;Google Gemini,60265
Data scientist or machine learning specialist,PHP;Python;SQL,BigQuery,Digital Ocean;Google Cloud,FastAPI,NA,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Composer;Docker;Homebrew;Pip;Yarn,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Jira;Obsidian;Trello,Discord;Google Meet;Telegram;Whatsapp;Zoom,ChatGPT;Claude;Google Gemini,19479
Data scientist or machine learning specialist,R,Microsoft SQL Server,NA,NA,NA,Tidyverse,NA,RStudio,Confluence;Markdown File,Microsoft Teams;Skype,NA,66592
Data or business analyst,VBA,NA,NA,NA,NA,NA,NA,NA,NA,Skype;Telegram,ChatGPT,16134
Data or business analyst,Python;SQL,MySQL,Amazon Web Services (AWS),NA,NA,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn,NA,PyCharm,Confluence;Jira;Miro;Notion,Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;WolframAlpha,42962
Data engineer,Bash/Shell (all shells);Go;Java;Kotlin;Python;SQL,BigQuery;Clickhouse;DuckDB;Dynamodb;Elasticsearch;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud,NA,NA,Apache Kafka;Apache Spark;NumPy;Pandas,APT;Docker;Gradle;Kubernetes;Make;Pip;Terraform,Jupyter Notebook/JupyterLab;Vim,Confluence;Jira;Markdown File;Notion,Google Meet;Slack,NA,85925
Data scientist or machine learning specialist,HTML/CSS;JavaScript;PowerShell;Python;SQL,MongoDB,NA,FastAPI;jQuery;Node.js,NA,Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Chocolatey;Docker;npm;Pip;Podman,Jupyter Notebook/JupyterLab;Notepad++;Sublime Text;Visual Studio Code,Confluence;Jira,Microsoft Teams,NA,67021
Data or business analyst,Julia,NA,NA,NA,NA,NA,NA,Visual Studio Code,NA,Discord;Microsoft Teams,NA,70063
"Developer, AI",Bash/Shell (all shells);Python,MongoDB;PostgreSQL;SQLite,Google Cloud,FastAPI,NA,CUDA;Hugging Face Transformers;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow,Pip,Neovim;Visual Studio Code,Confluence;GitHub Discussions;Jira;Miro;Obsidian,Cisco Webex Teams;Discord;Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;GitHub Copilot;Perplexity AI;Phind,80555
Data scientist or machine learning specialist,Perl;Python;R;SQL,Elasticsearch;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Digital Ocean,Django;FastAPI;Flask,Arduino;Rasberry Pi,Apache Kafka;Apache Spark;CUDA;Hadoop;Hugging Face Transformers;Keras;mlflow;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm,Asana;Confluence;Jira;Lucid,Google Meet;Slack;Whatsapp;Zoom,Bing AI;ChatGPT;Phind,5982
Data engineer,Bash/Shell (all shells);Python,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,NA,NA,NA,Docker;Homebrew;Yarn,Visual Studio Code,Confluence;Jira;Miro;Notion;Trello,Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot,72000
Data engineer,Assembly;Bash/Shell (all shells);C;HTML/CSS;PowerShell;Python;SQL;VBA,Oracle;SQLite,Hetzner,NA,NA,NA,Docker,Vim;Visual Studio Code,Azure Devops;Confluence;Jira,NA,ChatGPT;Perplexity AI,189409
Data scientist or machine learning specialist,Assembly;Delphi;JavaScript;MATLAB;Python,Firebird;MariaDB,Amazon Web Services (AWS),jQuery,Rasberry Pi,OpenCL,NA,"Rad Studio (Delphi, C++ Builder)",Jira,Microsoft Teams,ChatGPT,85925
Data scientist or machine learning specialist,Bash/Shell (all shells);C;HTML/CSS;MATLAB;PHP;Python;R;SQL,MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner;OVH,Django;FastAPI;Flask,CMake;GNU GCC;LLVM's Clang,CUDA;Keras;NumPy;OpenCL;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn,APT;Docker;Make;Pip;Podman,Sublime Text;Vim,Markdown File;Redmine;Wikis,IRC;Jitsi;Matrix;Signal;Telegram;Zoom,WolframAlpha,10741
Data engineer,Go;Java;Python;SQL,BigQuery,Google Cloud,NA,CMake,NA,Kubernetes;Make;Maven (build tool);Terraform,Visual Studio Code,Confluence;Jira,Slack;Zoom,ChatGPT,143924
Data or business analyst,Python;SQL,BigQuery;Microsoft SQL Server;PostgreSQL;Snowflake,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,NA,NA,NumPy;Pandas;Scikit-Learn,NA,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira,Cisco Webex Teams;Microsoft Teams;Telegram,ChatGPT;Claude;GitHub Copilot;Google Gemini;Whispr AI,91295
Data engineer,Python;SQL,BigQuery;DuckDB;Microsoft SQL Server;PostgreSQL;Redis,Google Cloud;Microsoft Azure,FastAPI;Flask;Svelte,Rasberry Pi,Apache Kafka;Apache Spark;Pandas,Docker;Homebrew;Kubernetes;npm;Terraform,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Azure Devops;Basecamp;Jira;Markdown File;Miro;Notion,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT,53703
Data scientist or machine learning specialist,Python,NA,Amazon Web Services (AWS),NA,Arduino;Rasberry Pi,NumPy;Opencv;Scikit-Learn,Docker;Pip,Jupyter Notebook/JupyterLab;Nano;Visual Studio;Visual Studio Code,Jira;Markdown File;Miro;Notion;Obsidian,Discord;Google Meet;Slack,ChatGPT;GitHub Copilot,75434
Data engineer,Bash/Shell (all shells);Python;SQL,Presto;Snowflake,Amazon Web Services (AWS),NA,NA,Apache Spark,APT;Docker;Homebrew;Pip;Terraform,IntelliJ IDEA;Neovim,Jira;Markdown File;Notion,Google Meet;Slack,ChatGPT;GitHub Copilot,107406
Data engineer,Python,PostgreSQL,Microsoft Azure,Angular;AngularJS;Flask;Node.js,NA,NumPy;Pandas,Docker;Pip,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Azure Devops;Markdown File,Discord;Microsoft Teams,ChatGPT,53703
